id_MODEL,group_MODEL,algorithm_MODEL,count_MODEL,Accuracy_MODEL
512,Correct,Naive Bayes,1,F1 Score: 69%
513,Correct,Naive Bayes,1,F1 Score: 69%
514,Correct,Naive Bayes,1,F1 Score: 69%
515,Correct,Naive Bayes,1,F1 Score: 69%
516,Correct,Naive Bayes,1,F1 Score: 69%
517,Correct,Naive Bayes,1,F1 Score: 69%
518,Correct,Naive Bayes,1,F1 Score: 69%
519,Correct,Naive Bayes,1,F1 Score: 69%
520,Correct,Naive Bayes,1,F1 Score: 69%
521,Correct,Naive Bayes,1,F1 Score: 69%
522,Correct,Naive Bayes,1,F1 Score: 69%
523,Correct,Naive Bayes,1,F1 Score: 69%
524,Correct,Naive Bayes,1,F1 Score: 69%
525,Correct,Naive Bayes,1,F1 Score: 69%
526,Correct,Naive Bayes,1,F1 Score: 69%
527,Correct,Naive Bayes,1,F1 Score: 69%
528,Correct,Naive Bayes,1,F1 Score: 69%
529,Correct,Naive Bayes,1,F1 Score: 69%
530,Correct,Naive Bayes,1,F1 Score: 69%
531,Correct,Naive Bayes,1,F1 Score: 69%
532,Correct,Naive Bayes,1,F1 Score: 69%
533,Correct,Naive Bayes,1,F1 Score: 69%
534,Correct,Naive Bayes,1,F1 Score: 69%
535,Correct,Naive Bayes,1,F1 Score: 69%
536,Correct,Naive Bayes,1,F1 Score: 69%
537,Correct,Naive Bayes,1,F1 Score: 69%
538,Correct,Naive Bayes,1,F1 Score: 69%
539,Correct,Naive Bayes,1,F1 Score: 69%
540,Correct,Naive Bayes,1,F1 Score: 69%
